date,value
2018-01-23,2560
2018-01-24,1661
2018-01-25,1143
2018-01-26,7800
2018-01-27,1308
2018-01-28,1307
2018-01-29,2783
2018-01-30,1198
2018-01-31,2749
2018-02-01,169
2018-02-02,6080
2018-02-03,1389
2018-02-04,3425
2018-02-05,1646
2018-02-06,30
2018-02-07,2023
2018-02-08,1926
2018-02-09,314
2018-02-10,1440
2018-02-11,972
2018-02-12,3723
2018-02-13,1207
2018-02-14,4027
2018-02-15,2227
2018-02-16,3017
2018-02-17,8418
2018-02-18,638
2018-02-19,4517
2018-02-20,1468
2018-02-21,3041
2018-02-22,6796
2018-02-23,3457
2018-02-24,2804
2018-02-25,1595
2018-02-26,2332
2018-02-27,6899
2018-02-28,4495
2018-03-01,2048
2018-03-02,3903
2018-03-03,6250
2018-03-04,1128
2018-03-05,3924
2018-03-06,2561
2018-03-07,1721
2018-03-08,423
2018-03-09,3616
2018-03-10,1791
2018-03-11,81
2018-03-12,1574
2018-03-13,4013
2018-03-14,4915
2018-03-15,1573
2018-03-16,3795
2018-03-17,1784
2018-03-18,571
2018-03-19,4010
2018-03-20,4200
2018-03-21,454
2018-03-22,1871
2018-03-23,3496
2018-03-24,1384
2018-03-25,1894
2018-03-26,2968
2018-03-27,1409
2018-03-28,2013
2018-03-29,3900
2018-03-30,3674
2018-03-31,838
2018-04-01,1296
2018-04-02,1321
2018-04-03,4607
2018-04-04,5434
2018-04-05,1604
2018-04-06,1179
2018-04-07,1278
2018-04-08,555
2018-04-09,1101
2018-04-10,2505
2018-04-11,1602
2018-04-12,5329
2018-04-13,4686
2018-04-14,1822
2018-04-15,840
2018-04-16,1875
2018-04-17,4179
2018-04-18,3968
2018-04-19,3355
2018-04-20,4449
2018-04-21,1828
2018-04-22,2500
2018-04-23,2346
2018-04-24,1631
2018-04-25,4758
2018-04-26,965
2018-04-27,15287.7254
2018-04-28,12538.2746
2018-04-29,1061
2018-04-30,5329
2018-05-01,5379
2018-05-02,1357
2018-05-03,1227
2018-05-04,4388
2018-05-05,3210
2018-05-06,1634
2018-05-07,1985
2018-05-08,5338
